 GAL7 GAL10  GAL1   GAL3  GAL83   GAL2  GAL80 GAL11  GAL4
 1.26  0.34 -0.06  0.380 -0.430  0.410  0.200 -0.02  0.39
 1.06  0.07  0.12  0.080  0.100  0.210  0.540  0.11  0.01
 1.42  0.13  0.21  0.150 -0.030  0.060  0.280  0.33  0.55
 1.61  0.16 -0.01 -0.140  0.240 -0.290  0.400  0.42  0.64
 1.40  0.87  0.69  0.660 -0.250  0.800  1.320  0.26  0.89
 1.37  0.32  0.44  0.430  0.610  0.280  0.490  0.23  0.39
 1.38  0.46  0.09  0.290  0.680 -0.420  0.760  0.05  0.23
-0.17 -0.12 -0.71 -0.250  0.490  0.080 -0.030  0.09 -0.10
 0.09 -0.26 -0.22 -0.100  0.240 -0.690 -0.340  0.26  0.02
 0.54  0.33 -0.01 -0.220 -0.060 -0.760 -0.270  0.11 -0.19
 0.08  0.01 -0.36  0.080  0.040  0.190 -0.340  0.12  0.25
 0.61  0.08 -0.19 -0.120 -0.320 -0.940 -0.400  0.70 -0.08
 1.29  0.71  1.37  0.770  0.830 -0.450  0.300 -0.07 -1.01
 0.07 -0.03  0.03 -0.060  0.690 -0.320  0.630  0.53  0.15
 0.76 -0.30  0.04  0.260 -0.300 -0.790  0.590  0.65 -0.18
 0.57 -0.81 -0.49 -0.380  0.940 -0.580  0.070 -0.11 -0.68
-0.47 -0.14  2.24  0.520  0.230  0.010 -0.030  0.09  0.38
 0.21 -0.18 -0.07  0.048  0.039  0.162  0.057  0.31  0.15
 0.43 -0.10  0.08  0.149  0.053  0.317  0.167  0.53  0.46
 0.06  0.77 -0.07 -1.090 -0.740 -0.790  1.060  0.00 -0.43
-5.64 -5.64 -5.64  0.380 -0.380 -6.640  0.030  0.38  0.50
 2.86  3.20  3.14  2.020 -0.010  3.130  1.670  0.25  0.40
-5.64 -5.06 -5.64 -1.180  0.150 -6.640  0.300  0.39  0.15
-5.64 -5.64 -5.64 -2.740  0.000 -6.640 -0.180  0.62  0.11
-5.64 -5.06 -5.64 -0.400 -0.290 -6.640 -0.220  0.80  0.48
-5.64 -5.06 -5.64 -1.120  0.250 -5.640 -0.040  0.58  0.28
-5.35 -5.14 -5.48 -0.340 -0.420 -4.640 -0.270 -0.03  0.41
-5.35 -4.56 -4.48 -0.710  0.080 -5.640  0.150 -0.33  0.16
 3.00  2.88  3.24  1.280 -0.100  2.280  1.950 -0.35  0.88
-5.64 -5.48 -6.64 -1.180 -0.040 -5.640  0.070  0.66  0.50
-6.14 -5.14 -6.14 -0.510  0.000 -5.060  0.150  0.43  0.00
-6.64 -4.98 -4.91 -1.220  0.200  0.080 -0.320 -0.61  0.42
-5.64 -4.91 -6.14 -1.150  0.300 -5.060 -0.250  0.16  0.00
-0.42 -0.64 -0.62 -0.560  0.290 -0.420  0.140 -0.02  0.16
 0.25 -0.47 -0.51  0.110  0.070  0.230 -0.200 -0.11  0.07
 0.03 -0.30 -0.47 -0.620 -0.030 -0.010 -0.070  0.09 -0.38
-0.10 -0.34 -0.23 -0.560  0.060 -0.200  0.380  0.03 -0.50
 0.40 -0.32 -0.22  0.410 -0.170  0.160  0.120 -0.11 -0.08
-0.49 -0.38 -0.30 -0.420  0.040  0.180  0.320  0.04  0.04
-0.09 -0.27 -0.47  1.120  0.110 -0.140  0.320 -0.47  0.23
-0.92  0.11 -0.42 -0.380  0.360 -0.070  0.330 -0.42  0.11
-0.51 -1.00 -0.03 -1.400  0.180  0.100  0.160  0.24  0.27
-0.06 -0.84 -0.17  0.280 -0.100  0.000  0.200 -0.13 -0.19
 0.40  0.32  0.07  0.410  0.030  0.000  0.240 -0.21 -0.03
-0.40 -1.79 -0.27  0.960 -0.030  0.030  0.150 -0.27  0.68
